番号,2577
名前,타키 쿄코
呼び名,바이라
 
基礎,0,2400;체력
基礎,1,2400;기력
基礎,2,1500;사정
基礎,10,1500;무드
基礎,11,1000;이성
基礎,12,1000;분노
基礎,13,1000;만족
;Talent
素質,0,1;처녀
素質,2,1;성별
素質,7,1;키스미경험
素質,20,1;자제심
素質,25,1;일선넘지않음
素質,30,1;정조
素質,50,1;습득속도
素質,51,1;器用な指
素質,80,1;도착적
素質,85,1;妄信
素質,121,0;가슴사이즈
素質,117,1;연령
素質,131,1;듀얼리스트
;ABL
能力,0,0;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,9,1;친밀
能力,10,3;순종
能力,11,1;욕망
能力,12,2;기교
能力,13,2;봉사精神
能力,14,0;노출증
能力,15,0;마조っ気
能力,16,0;새드っ気
能力,17,0;레즈っ気
能力,40,0;清掃技能
能力,41,1;화술기능
能力,42,1;身体能力
能力,43,3;교양
能力,44,0;料理技能
;EXP
 
;FLAG
フラグ,7,194;服装
フラグ,311,100;開始位置
