番号,5512,
名前,パチュリー・ノーレッジ,
呼び名,パチュリー,
;BASE
基礎,0,800
基礎,1,2000
基礎,5,1500;射精
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足

;Talent
素質,処女,1
素質,性別,1
素質,キス未経験,1;キス未経験
素質,応答,-1;大人しい
素質,無関心,1
素質,性的興味,-1;保守的
素質,痛覚,1;痛みに弱い
素質,濡れやすさ,1;濡れやすい
素質,習得速度,1;習得早い
素質,舌使い,1
素質,調合知識,1
素質,中毒しやすい,1
素質,倒錯的,1
素質,酒耐性,-1;酒に弱い
素質,回復速度,-1;回復遅い
素質,体型,-1
素質,バストサイズ,2;バストサイズ
素質,Ｃ感度,1;Ｃ敏感
素質,Ｖ感度,1;Ｖ敏感
素質,Ａ感度,1;Ａ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,Ｍ感度,1;Ｍ敏感

素質,年齢,0;年齢
素質,属性,2;闇
素質,種族,1;魔法使い族

;ABL
能力,0,2;C感覚
能力,1,2;V感覚
能力,2,2;A感覚
能力,3,2;B感覚
能力,4,2;M感覚

能力,9,0;親密
能力,10,0;従順
能力,11,2;欲望
能力,12,0;技巧
能力,13,0;奉仕精神
能力,14,0;露出壁
能力,15,2;マゾっ気
能力,16,0;サドっ気
能力,17,3;レズっ気
能力,40,0;清掃技能
能力,41,1;話術技能
能力,42,0;身体能力
能力,43,3;教養
能力,44,0;料理技能

;EXP

;FLAG
フラグ,7,421;服装
フラグ,311,100;開始位置

CSTR,등장작품,東方Project
