番号,2111,
名前,백은 성의 시녀 아리안나
呼び名,아리안나
;BASE
基礎,0,1600;体力
基礎,1,2100;気力
基礎,5,1500;射精
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足
;Talent
素質,0,1;処女
素質,2,1;성별
素質,7,1;キス未経験
素質,11,1;態度
素質,13,1;プライド高い
素質,117,0;年齢
素質,22,1;感情乏しい
素質,24,-1;陰気
素質,40,-1;痛みに強い
素質,53,1;針さばき
素質,56,1;薬毒耐性
素質,61,2;汚れ無視
素質,70,-1;快感応答
素質,82,1:サド
素質,86,1;小悪魔
素質,100,0;体型
素質,103,1;A感度
素質,121,0;バストサイズ
素質,123,1;角
素質,127,2;悪魔の羽
素質,142,1;尻尾

素質,125,1;硬質体
素質,190,2;闇
素質,191,9;悪魔
;ABL
能力,0,1;C감각
能力,1,0;V감각
能力,2,2;A감각
能力,3,0;B감각
能力,9,0;親密
能力,10,1;従順
能力,11,0;欲望
能力,12,2;技巧
能力,13,1;奉仕精神
能力,14,0;露出壁
能力,15,0;マゾっ気
能力,16,1;サドっ気
能力,17,1;レズっ気
能力,40,2;清掃技能
能力,41,0;話術技能
能力,42,2;身体能力
能力,43,0;教養
能力,44,2;料理技能
;EXP
経験,22,5;自慰経験
経験,70,15;清掃経験
経験,76,15;料理経験
;FLAG
フラグ,7,112;服装
フラグ,311,100;開始位置(これは変えない)
