番号,5515,
名前,플랑드르 스칼렛,
呼び名,플랑,
;BASE
基礎,0,2500
基礎,1,1000
基礎,5,1500;射精
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足

;Talent
素質,처녀,1
素質,성별,1
素質,키스미경험,1;키스미경험
素質,성적흥미,1;好奇心
素質,무지,1
素質,자기애,1;解放
素質,정조,-1;정조無頓着
素質,통각,-1;痛みに強い
素質,도착적,1
素質,중독되기쉬움,1
素質,새드,1
素質,매혹,1
素質,체형,-2
素質,유치
素質,가슴사이즈,-1;가슴사이즈
素質,Ａ감도,1;Ａ敏感
素質,연령,-1;연령
素質,날개,2;悪魔の날개
素質,흡혈귀,1;흡혈귀
素質,속성,5;炎
素質,종족,3;언데드

;ABL
能力,0,0;C感覚
能力,1,0;V感覚
能力,2,2;A感覚
能力,3,0;B感覚
能力,9,0;親密
能力,10,1;従順
能力,11,1;欲望
能力,12,0;技巧
能力,13,0;奉仕精神
能力,14,0;露出壁
能力,15,0;マゾっ気
能力,16,1;새드っ気
能力,17,0;レズっ気
能力,40,0;清掃技能
能力,41,0;話術技能
能力,42,3;身体能力
能力,43,2;教養
能力,44,0;料理技能

;EXP

;FLAG
フラグ,7,420;服装
フラグ,311,100;開始位置

CSTR,등장작품,동방Project
