番号,5520,
名前,사이교우지 유유코,
呼び名,유유코,

;BASE
基礎,0,2800
基礎,1,1800
基礎,5,1500;사정
基礎,10,1500;무드
基礎,11,1000;이성
基礎,12,1000;분노
基礎,13,1000;만족

;Talent
素質,성별,1
素質,프라이드,1;프라이드高い
素質,무관심,1
素質,정조,-1;정조無頓着
素質,자기애,1;解放
素質,통각,-1;痛みに強い
素質,젖기쉬움정도,-1;濡れにくい
素質,술내성,1;酒に強い
素質,매혹,1
素質,체형,0
素質,연령,1;연령
素質,가슴사이즈,2;가슴사이즈

素質,속성,6;風
素質,종족,3;언데드족

;ABL
能力,0,0;C감각
能力,1,1;V감각
能力,2,0;A감각
能力,3,2;B감각
能力,9,0;친밀
能力,10,0;순종
能力,11,2;욕망
能力,12,2;技巧
能力,13,0;봉사정신
能力,14,0;노출壁
能力,15,0;マゾっ気
能力,16,1;새드っ気
能力,17,2;레즈っ気
能力,40,0;清掃技能
能力,41,4;화술기능
能力,42,2;身体能力
能力,43,2;教養
能力,44,1;料理技能

;EXP

;FLAG
フラグ,7,423;服装
フラグ,311,100;開始位置

CSTR,등장작품,동방Project
