番号,1675,
名前,회멸한 도시의 무녀
呼び名,회멸의 무녀,
;BASE
基礎,0,2000;체력
基礎,1,2100;기력
基礎,5,1500;사정
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;만족
;Talent
素質,0,1;처녀
素質,7,1;키스미경험
素質,2,1;성별
素質,11,-1;大人しい
素質,20,1;자제심
素質,22,1;感情乏しい
素質,23,-1;성적흥미;保守的
素質,30,1;정조観念
素質,51,1;器用な指
素質,62,1;헌신적
素質,80,1;도착적
素質,100,0;체형
素質,116,1;容姿;容姿端麗
素質,117,0;연령;若者
素質,121,1;가슴사이즈;巨乳
素質,122,1;太ももサイズ;太腿
素質,128,1;お尻サイズ;安産型
素質,125,2;특수体質;霊体


素質,190,2;闇
素質,191,12;원소정령족


;ABL
能力,0,0;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,9,0;친밀
能力,10,0;従順
能力,11,0;욕망
能力,12,0;기교
能力,13,0;봉사精神
能力,14,0;노출증
能力,15,0;마조っ気
能力,16,0;새드っ気
能力,17,0;레즈っ気
能力,40,1;清掃技能
能力,41,1;話術技能
能力,42,0;身体能力
能力,43,2;교양
能力,44,1;料理技能
;EXP

;FLAG
フラグ,7,151;服装
フラグ,311,100;開始位置
