番号,1496,
名前,Kozmo－그린돌
呼び名,그린돌,
;BASE
基礎,0,1800;체력
基礎,1,1000;기력
基礎,5,1500;사정
基礎,10,1500;무드
基礎,11,1000;이성
基礎,12,1000;분노
基礎,13,1000;만족
;Talent
素質,0,1;처녀
素質,2,1;성별
素質,7,1;키스미경험
素質,10,-1;배짱
素質,11,-1;태도
素質,12,-1;반응
素質,20,1;자제심
素質,23,-1;성적흥미
素質,25,1;일선넘지않음
素質,61,-1;악취내성
素質,62,1;헌신적
素質,101,1;C감도
素質,104,-1;B감도
素質,117,1;연령
素質,121,2;가슴사이즈
素質,127,4;날개
素質,130,1;회복早い
素質,190,1;光
素質,191,14;사이킥
;ABL
能力,0,0;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,9,1;친밀
能力,10,1;순종
能力,11,0;욕망
能力,12,0;기교
能力,13,2;봉사精神
能力,14,0;노출증
能力,15,0;마조っ気
能力,16,0;새드っ気
能力,17,0;레즈っ気
能力,40,2;清掃技能
能力,41,0;화술기능
能力,42,2;身体能力
能力,43,2;교양
能力,44,1;料理技能
;EXP
;FLAG
フラグ,7,104;服装
フラグ,311,100;開始位置(これは変えない)
