番号,XXXX,,
名前,캐릭터CSV 템플릿,,
呼び名,캐릭터CSV템플릿,,
,,,
;BASE,,,
基礎,0,1000 ;체력、공격력,
基礎,1,1000 ;기력、수비력,
基礎,5,1500 ;사정,
基礎,10,1500;무드,
基礎,11,1000;이성,
基礎,12,1000;분노,
基礎,13,1000;만족,
,,,
;기본적으론 0또는 미기입으로 미소지、1로 소지,,,
;필요없는 부분은 삭제해도 상관없음（여석캐릭터의 동정 등）,,,
,,,
;Talent,,,
素質,0,1    ;처녀（1= 처녀 2=再生처녀）,
素質,1,0    ;동정,
素質,2,1    ;성별,(1=여성기 2=남성기 3=후타나리)
素質,7,1    ;키스미경험,
素質,9,0    ;붕괴,
素質,10,0   ;배짱（-1=겁쟁이 1=든든）,
素質,11,0   ;태도（-1=솔직 1=반항적）,
素質,12,0   ;반응（-1=얌전함 1=건방짐）,
素質,13,0   ;프라이드（-1=프라이드낮음 1=프라이드높음）,
素質,14,0   ;츤／데레（-1=데레데레 1=츤데레）,
素質,20,0   ;자제심,
素質,21,0   ;무관심,
素質,22,0   ;감정부족함,
素質,23,0   ;성적흥미（-1=보수적 1=호기심）,
素質,24,0   ;양기／음기（-1=음기 1=양기）,
素質,25,0   ;일선넘지않음,
素質,26,0   ;자기과시욕（-1=히키코모리 1=관종）,
素質,27,0   ;무지,
素質,28,0   ;페이스배분（-1=마이페이스 1=덜렁댐）,
素質,29,0   ;의존체질,
素質,30,0   ;정조（-1=정조무관심 1=정조관념）,
素質,31,0   ;자기애（-1=억압、커맨드실행 어려움 1=해방、마조끼가 오르기쉬움）,
素質,32,0   ;저항,
素質,33,0   ;수치심（-1=부끄러움모름 1=부끄럼쟁이),
素質,35,0   ;포식자,
素質,36,0   ;낭자애、오토코노코！！,
素質,40,0   ;통각（-1=아픔에 강함 1=아픔에 약함）,
素質,41,0   ;젖기쉬움정도（-1=젖기 힘듬 1=젖기 쉬움）,
素質,42,0   ;포르치오성감,
素質,50,0   ;습득（-1=습득느림 1=습득빠름）,
素質,51,0   ;솜씨좋은손가락,
素質,52,0   ;혀사용자,
素質,53,0   ;바느질 솜씨,
素質,54,0   ;고양이혀,
素質,55,0   ;조합지식,
素質,56,0   ;약독내성,
素質,57,0   ;실금벽,
素質,58,0   ;술내성（-2=술찌）,
素質,60,0   ;자위하기 쉬움,
素質,61,0   ;악취내성（-2=결벽증 -1=악취민감 1=악취둔감 2=더러움무시）,
素質,62,0   ;헌신적,
