番号,4753,
名前,밤버걸 오렌
呼び名,오렌
;BASE
基礎,0,1900;体力
基礎,1,1000;気力
基礎,5,1500;사정
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足
;Talent
素質,0,1;처녀
素質,2,1;성별
素質,7,1;키스미경험
素質,13,-1;プライド
素質,23,1;好奇心
素質,24,1;陽気
素質,26,1;自己顕示欲
素質,27,1;無知
素質,31,1;自己愛
素質,40,-1;痛みに強い
素質,41,-1;濡れにくい
素質,61,-2;汚れ無視
素質,70,1;快感応答
素質,100,1;体型
素質,101,1;C感度
素質,108,1;褐色肌
素質,117,-1;연령
素質,121,2;가슴사이즈
素質,130,1;回復速度
素質,140,2;外部者（カード作品外）
素質,190,5;炎
素質,191,4;전사족
素質,195,2;所属（1=アカデミア 2=その他の学校）
;ABL
能力,0,0;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,9,3;친밀
能力,10,0;従順
能力,11,0;욕망
能力,12,0;기교
能力,13,0;奉仕精神
能力,14,0;露出壁
能力,15,0;마조っ気
能力,16,0;새드っ気
能力,17,0;레즈っ気
能力,40,0;清掃技能
能力,41,0;話術技能
能力,42,3;身体能力
能力,43,0;교양
能力,44,0;料理技能
;EXP
;FLAG
フラグ,7,301;服装
フラグ,311,100;開始位置(これは変えない)

CSTR,등장작품,봄버 걸
