番号,5531,
名前,레이센 우동게인 이나바,
呼び名,레이센,

;BASE
基礎,0,1700
基礎,1,1400
基礎,5,1500;사정
基礎,10,1500;무드
基礎,11,1000;이성
基礎,12,1000;분노
基礎,13,1000;만족

;Talent
素質,성별,1
素質,키스미경험,1;키스미경험
素質,배짱,-1;臆病
素質,자제심,1
素質,수치심,1;恥じらい
素質,조합지식,1
素質,악취내성,-1;汚臭敏感,
素質,중독되기쉬움,1
素質,성별기호,1;男嫌い
素質,Ｖ감도,1;Ｖ敏感
素質,술내성,-1;酒に弱い
素質,체형,-1
素質,연령,0;연령
素質,동물귀,1
素質,가슴사이즈,1;가슴사이즈
素質,속성,1;光
素質,종족,6;야수족

;ABL
能力,0,0;C감각
能力,1,2;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,9,0;친밀
能力,10,0;순종
能力,11,1;욕망
能力,12,0;기교
能力,13,2;봉사정신
能力,14,0;노출壁
能力,15,1;マゾ끼
能力,16,1;새드끼
能力,17,1;레즈끼
能力,40,2;清掃技能
能力,41,1;화술기능
能力,42,2;신체능력
能力,43,1;교양
能力,44,1;요리기능

;EXP

;FLAG
フラグ,7,151;服装
フラグ,311,100;開始位置

CSTR,등장작품,동방Project
