番号,1446,
名前,마를 새기는 데몬스미스
呼び名,데몬스미스,
;BASE
基礎,0,2400;체력
基礎,1,2400;기력
基礎,5,1500;사정
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;만족
;Talent
素質,2,2;성별
素質,10,1;배짱
素質,13,1;프라이드
素質,23,1
素質,24,1;陽気
素質,30,-1
素質,31,1
素質,33,-1
素質,40,1
素質,51,1
素質,52,1
素質,55,1
素質,80,1;倒錯的
素質,81,1
素質,82,1;새드
素質,92,1
素質,100,1;体型
素質,106,1
素質,108,1
素質,117,1;연령
素質,121,0;가슴사이즈
素質,152,1
素質,190,1
素質,191,9;悪魔
素質,250,6
;ABL
能力,0,1;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,9,0;친밀
能力,10,0;従順
能力,11,6;욕망
能力,12,6;기교
能力,13,0;봉사精神
能力,14,0;露出壁
能力,15,0;마조っ気
能力,16,6;새드っ気
能力,17,0;레즈っ気
能力,40,0;清掃技能
能力,41,0;話術技能
能力,42,0;身体能力
能力,43,0;교양
能力,44,0;料理技能
能力,53,6
;EXP
経験,0,60
経験,5,20
経験,10,20
経験,11,20
;FLAG
フラグ,7,1;服装
フラグ,311,100;開始位置(これは変えない)
