番号,1445,
名前,홍루의 마 라크리모사
呼び名,라크리모사,
;BASE
基礎,0,1200;体力
基礎,1,1200;気力
基礎,5,1500;射精
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足
;Talent
素質,2,1;성별
素質,10,1;度胸
素質,11,1
素質,13,1;プライド
素質,23,1
素質,24,1;陽気
素質,30,-1
素質,31,1
素質,33,-1
素質,35,1
素質,41,1
素質,51,1
素質,52,1
素質,80,1;倒錯的
素質,82,1;サド
素質,86,1
素質,93,1
素質,100,0;体型
素質,101,1;C感度
素質,102,1;Ｖ感度
素質,108,1
素質,117,1;年齢
素質,121,1;バストサイズ
素質,123,1
素質,127,2
素質,190,1
素質,191,9;悪魔
;ABL
能力,0,1;C감각
能力,1,2;V감각
能力,2,1;A감각
能力,3,2;B감각
能力,9,3;親密
能力,10,0;従順
能力,11,2;욕망
能力,12,1;技巧
能力,13,0;奉仕精神
能力,14,0;露出壁
能力,15,0;マゾっ気
能力,16,0;サドっ気
能力,17,0;레즈っ気
能力,40,0;清掃技能
能力,41,0;話術技能
能力,42,0;身体能力
能力,43,1;教養
能力,44,0;料理技能
;EXP
経験,22,0;自慰経験
;FLAG
フラグ,7,128;服装
フラグ,311,100;開始位置(これは変えない)
