0,로터,1000,
1,전기마사지,3000,
2,클리캡,1000,
3,오나홀,4000,
4,바이브,1500,
5,애널바이브,1500,
6,애널비즈,1500,
7,공기펌프,2000,
8,확장벌룬,2000,
9,관장기＋플러그,2000,
10,니플캡,1000,
11,착유기,1500,
12,페니스밴드,1500,
13,채찍,1000,
14,바늘,2000,
15,아이마스크,1500,
16,밧줄,1000,
17,볼개그,1000,
18,딜도,11500,
;18,비디오카메라,5000,
;19,카메라,3000,;写真촬영が可能になる。フィルムとセットで使用
20,플레이매트,2000,;お목욕場でプレイの幅が広がる
21,큰거울,5000,;수치플레이が可能になる
;22,목줄,2000,;야외플레이が可能になる
23,앞치마,5000,;새댁플레이が可能になる
24,전극 플러그,5000,
;25,촉수사역술,10000,;촉수조교が可能になる
;26,코스프레 세트,2000,;奴隷の衣装の幅を増やす
27,소환칸＋１,10000,;部屋に소환できる횟수を増やす、名前は考え中。
30,접이식우산,980,;雨で風邪を引かないようになる！
31,덤벨,1980,部屋でもやろう！トレーニング！
32,런닝머신,29800,自宅でより高度なトレーニングを！
33,벤치프레스세트,500000,より高負荷トレーニングをめざすあなたに
34,기초자격학습서,3980,基礎から知識をつけたい方向け
35,응용자격학습서,20980,海外取り寄せのお高めな학습書
36,고도자격학습서,498000,古物商から手に入れた、古代神官文字で記された학습書のレプリカ
37,고성능크리에이티브PC,573000,自宅でも仕事が可能になる
40,로션,200,
41,미약,1000,
42,이뇨제,1000,
;43,비디오테이프,500,;비디오카메라の使用に必要。使い捨て
;44,필름,300,;写真촬영で使用。使い捨て
45,콘돔,100,;定番の피임具、피임には十分だが、使い捨て
46,저온양초,2000,;양초プレイに必要。素肌を傷つけない優れもの。ただし高い値段の割に使い捨て
;47,강정신제,1000,;コマンド「強精神薬」のために必要。
;50,10개한정 아이템,10,
60,【더러움 무시】,10000,;プレイヤーにTALENT:汚れ無視がつく
61,【조합지식】,40000,;プレイヤーにTALENT:조합지식がつく
62,【금단의 지식】,80000,;プレイヤーにTALENT:금단의지식がつく
63,【기교UP】,5000,;プレイヤーの기교を上げる
64,【기교DOWN】,0,;プレイヤーの기교を下げる
65,【정신조작】,100000,;どんな상황でも押し倒せる(TEST)
66,【오른손엔 방패 왼손엔 검】,5000,;기력と체력を入れ替える(TEST)
67,【시간의마술사】,15000,;연령を操作する(TEST)
68,【에너콘】,20000,;상대に強制的にエロい事が出来る(TEST)
69,【우정 YUーJOU】,10000,;デュエルに使用した덱の카드와의 인연が深まる(TEST)
70,건강해지는 약,1000,;체력を回復する
71,후타나리화 약,20000,;ふたなりにする
72,남근제거약,10000,;ふたなりを消去する
73,【블루포션】,20000,;体が成長するキャンディ。모유体質になる
74,【레드포션】,20000,;体が若返るキャンディ。처녀膜が再生する
75,【거대화】（가슴）,20000,;가슴の大きさを1段階上げる。爆乳使用불가
76,【수축】（가슴）,10000,;가슴の大きさを1段階下げる。絶壁使用불가
77,남체화약,10000,;男に変える
78,【증식】,0,;増やす
80,레플리카・천년 아이,20000,;상대の패를 見てしまおう
81,【봉인의카드】,100000,;人間を카드に変える
82,펫의 목줄,15000,;さらに墜としてあげよう
;90番以降は何か특수な아이템の枠に,,,
;90,기억제거약,100000,;처녀、ふたなり、모유体質、경험、감각の変化を残した状態で、残りのパラメータを全て初期化
;91,배란유발제,2000,;敢えて孕ませる場合に使う。
;92,알약,2000,;経口피임薬、쾌락も損なわないが一日しか持たず高い
100,결혼반지,1000000,;結婚コマンド用
110,이름없는부적,3500,;探すコマンド用
111,이름있는부적,5500,;探すコマンド用
200,【영혼의 카드】(임신해제),300000,;임신解除
201,커스텀카드１,0,
202,커스텀카드２,0,
203,커스텀카드３,0,
204,커스텀카드４,0,
205,커스텀카드５,0,
206,커스텀카드６,0,
207,커스텀카드７,0,
208,커스텀카드８,0,
209,커스텀카드９,0,
210,커스텀카드１０,0,
250,UR카드,0,;引換券用
251,SR카드,0,;引換券用
252,R카드,0,;引換券用
253,N카드,0,;引換券用
;400 ~ 410 요리器具,,,
400,조리용식칼,3000,
401,후라이팬,3500,
402,냄비,5000,
;403,찜기,3000,
;404,믹서기,6000,
;405,오븐,5600,
;スーパーマーケット系商品用,,,
410,식재료,500,
411,약세트,1000,
420,맥주,190,
421,츄하이,190,
422,와인,190,
423,호로요이,160,
424,오니고로시,190,
;千年ドア,,,
501,천년디스크,0,
502,천년스마트폰,0,
503,천년도어,0,
504,천년마커,0,
505,천년카메라,0,
506,천년마이크,0,
507,천년링,0,
;オーバー・チアリスト・ジェネレータ,,,
508,О・Ｃ・Ｇ디스크,0,
510,카이바코퍼레이션주식,100000,
;1000以降は카드専用,,,
