

;TRAINNAME
;0番台,０．애무계커맨드
1000,애무
1001,커닐링구스
1002,펠라한다
1003,손가락 넣기
1004,애널 핥기
1005,애널애무
1006,가슴애무
1007,유두자극
1008,조개 벌리기
1009,자위
1010,자위한다
1011,유두빨기

;20番台,１．コミュニケーション계커맨드
1020,키스한다
1021,아무것도 안한다

;40番台,２．도구사용コマンド
1040,로터
1041,전기마사지
1042,클리캡
1043,오나홀
1044,바이브
1045,애널바이브
1046,애널비즈
1047,니플캡
1048,착유기
1049,유두로터
1050,콘돔 장착
1051,배에 마사지기
1052,큰 거울을 꺼낸다
1053,딜도
1054,오나홀 요정
1060,정상위
1061,후배위
1062,정상위애널
1063,후배위애널
1064,역 레이프
1065,기승위
1066,기승위애널
1067,대면좌위
1068,배면좌위
1069,대면좌위애널
1070,배면좌위애널
1071,두 구멍 넣기

1080,수음
1081,펠라치오
1082,파이즈리
1083,스마타
1084,거품춤
1085,풋잡
1086,스쿼트

1090,애널애무 받는다
1091,애널 핥기 받는다
1092,Ａ정상위 받는다
1093,Ａ후배위 받는다
1094,Ａ기승위 한다

1100,스팽킹
1101,채찍
1102,양초
1103,바늘
1104,아이마스크
1105,밧줄
1108,젖스팽킹
1110,도게자 시킨다
1111,밟는다
1112,애태운다

1120,커닐링구스 강제
1121,조개 맞대기
1122,조수를 범하게한다
1123,풋잡한다

1126,서로 가슴만지기

1140,이라마치오
1141,피스트 퍽
1142,애널피스트
1143,두구멍피스트
1144,방뇨
1145,애널봉사
1146,관장
1147,확장벌룬
1148,애널전극
1150,사지를 떼어낸다
1151,뿔을 깎는다
1152,육변기로 만든다
1153,쇼핑 보낸다
1154,리미터해제

1180,로션
1181,미약
1182,이뇨제
1183,비디오촬영
1184,야외플레이
1185,조수를 범한다
1186,수치플레이
1187,목욕탕플레이
1188,샤워
1189,새댁플레이
1200,상반신탈의
1201,하반신탈의
1202,상반신탈의
1203,하반신탈의
1204,속옷바람으로 한다
1205,알몸으로 한다

1211,모자1을 벗긴다
1212,모자2를 벗긴다
1213,신발을 벗긴다
1214,양말을 벗긴다
1215,EQ:05를 벗긴다
1216,속옷을 벗긴다
1217,바지를 벗긴다
1218,치마를 벗긴다
1219,치마를 벗긴다
1220,브라자를 벗긴다
1222,외투를 벗긴다
1223,이너를 벗긴다

1225,원피스를 벗긴다
1226,악세1을 벗긴다
1227,악세2를 벗긴다
1228,악세3을 벗긴다



1300,대화
1301,차를 끓인다
1302,스킨십
1303,사과한다
1305,무릎베개 해준다
1306,배를 쓰다듬는다

1309,머리를 쓰다듬는다

1310,엉덩이를 쓰다듬는다
1311,포옹한다
1312,키스한다
1313,가슴애무
1314,애널애무
1315,클리애무
1316,손가락 넣기
1317,로터삽입한다
1318,리모트로터

1332,술을 권한다
1336,무릎베개 받는다
1340,사타구니를 맡게한다
1341,몸을 핥게한다

1350,밀어넘어뜨린다
1351,데리고 나간다
1352,고백한다
1353,용서를 구한다
1354,반지를 건네준다
1356,그늘로 꼬신다

1360,되는대로
1361,수면간한다
1362,도망친다

1370,정신조작
1371,빙의한다

1381,에너콘 발동

1400,이동
1401,컬렉션
1402,취침
1403,휴식
1404,엿본다
1409,모두를 부른다
1410,청소
1411,몸을 단련한다
1412,공부
1413,요리
1414,식사
1415,식사를 권한다
1416,게임을 한다
;Anonym추가(コマンド이동)
1417,카드를 선물

1419,시설을 이용한다
1420,돌고래AI와 대화한다
1421,갈아입는다

1425,냉장고를 확인한다

1430,의뢰를 받는다
1431,의뢰실행
1432,의뢰처로 향한다
1433,시설 이벤트

1435,귀가한다
1444,대전상대를 찾는다
1445,카페에서 쉰다


1450,소환/전화

1455,알바시킨다
1457,지인 서치
1458,상대를 귀환시킨다


1460,외출한다
1461,게임을 산다
1462,슈퍼를 들른다
1463,옷가게를 보러간다
1464,편의점

1465,일하러간다
1466,일
1467,일 휴식
1468,알바한다

1470,카드를 산다
1471,소원빌기
1472,집을 방문한다
1475,진찰을 받는다


1480,듀얼


1490,덱편집
1491,TEST



1901,식스나인
1902,이와시미즈
1903,G스팟 자극
1904,흐트러진 모란
1905,수음펠라
1906,삽입Ｇ스팟 자극
1907,삽입 자궁구 자극
1908,６９파이즈리
1909,더블펠라
1910,더블스마타
1911,더블파이즈리
1912,파이즈리펠라
1913,상호삽입
1914,비밀조개맞대기


1418,영화를 본다

1600,산책한다
1601,전철로 이동
1610,차원여행
1605,집으로 초대한다
1617,디저트카페로 초대한다


