0,휴식플래그
1,SYS_EVENT기동플래그
2,니삭스착용
3,연회의유무
4,난이도
5,게임모드
6,배경텍스트설정
7,구상텍스트설정
;텍스트を표시しない설정時		FLAG:6=0 FLAG:7=ー1
;情景텍스트のみ설정時		FLAG:6=1 FLAG:7=ー1
;구상텍스트+배경텍스트설정時	FLAG:6=1 FLAG:7= 2
9,일일이벤트
10,함락인수
11,주회수
12,누계호감도상승
13,듀얼보너스

15,듀얼포인트
16,악랄치

;現状ではFLAG:17は@EVENTTURNENDでリセットされるので使用したい場合は修正して下さい
18,주의패사용
19,처녀먹는자
20,요리
;Str3000代参照
21,요리옵션
;(bit=0:メニュー手動결정,1:異物混入불가,2:약물混入불가,10:自動味付け_普通,11:自動味付け_濃い,12:自動味付け_薄い)

;연회관계ーーーーーーーーー
30,연회개최플래그,;(0=연회なし 1=레이무の気紛れ酒盛り)
31,연회규모,;(仕事量として설정される)
32,연회회장
33,개시시간
34,개시일
35,참가인수
36,악천후중지플래그;(0=なし 1=中止あり)
37,연회差し入れ
;ーーーーーーーーーーーーーーーーー

41,의뢰슬롯１
42,의뢰슬롯２
43,의뢰슬롯３
44,의뢰슬롯４
45,의뢰슬롯５




50,추가연인칸



70,시간정지
71,자위금지
72,포부
73,데이트상대
74,아이템구입됨
75,신문구독
76,운세뽑기계약
77,스쳐지나감임신수
78,신앙심
80,기온
81,최고기온
82,최저기온
83,강수확률
84,밭확장
85,물주기대행
86,컬렉션스키마
87,C스키마자동사양
88,자동인연맺기
89,이상기후
90,가호
91,야채아이데일리
92,모리야10연가챠캠페인
93,수상한상품품질
94,수상한상품구입日
95,수상한상품효과
96,우산내구도
97,미라다지급
98,모브아이관리



200,기절중단
;300～499は使用せぬこと（アップ데이트でリセットがかかります）
;550～559,소원빌기캐릭터
550,소원빌기캐릭터
551,신사방문캐릭터

560,소원빌기내용
561,정력강화횟수
562,대청소
563,중혼가능인수
564,연모특전
565,연모특전2
566,연인특전
567,연인특전2

580,임신기원
581,모리야데이트권
582,일시체재
590,천적곤신
591,튜토문누계
592,튜토보너스진행
593,튜토문속도
594,튜토로그

;601～690,各訪問者のばったり플래그

700,획득팬티종류수
701,실적해제시스템
702,실적해제시스템２
703,호감도보너스취득상황
704,면식보너스취득상황
705,팬티보너스취득상황
706,함락보너스취득상황
707,임신보너스취득상황
708,기능보너스취득상황
709,탄막승무보너스취득상황
