1,사정부위,; (ビット 1=질내 2=애널 3=수음 4=펠라 5=파이즈리 6=스마타 7=풋잡 8=体表 9=애널봉사
2,파과억제플래그,;（처녀で快Vを得た경우、경험を変動させない)
3,SELECTCOM보존
4,파과플래그
5,밀어쓰러뜨리기

10,Ｖ삽입계속
11,Ａ삽입계속
12,역 레이프계속
13,호감도안들어감
14,삽입불가

20,시간각인취득
21,반발각인취득
22,고통각인취득
23,쾌락각인취득
24,굴복각인취득
25,각인순종変化

30,봉사쾌락플래그

40,Info표시중


50,특수COM,;(1=식스나인 2=이와시미즈 3=G스팟 자극 4=흐트러진 모란 5=수음펠라 6= 7= 8= 식스나인파이즈리 13=상호삽입 17=유두同時吸い 20=키스ハメ)

60,MASTER의입사용중
61,MASTER의손사용중
62,MASTER의Ｃ사용중
63,MASTER의Ｖ사용중
64,MASTER의Ａ사용중
65,MASTER의Ｂ사용중

70,밀어쓰러뜨릴수없음

90,이성깎기
91,무드상승억제
92,무드보너스
93,구상특수보정
95,호감도보너스
96,호감도마이너스
97,호감도관리
98,신뢰도관리
99,신뢰도관리그２
100,조교중COMABLE관리
101,조교자동실행관리
102,COMABLE관리
;(0=TARGETなし 1=日常ON 2=ウフフON 3=상대から押し倒され)
103,전턴의TARGET교대
104,현재의 TARGET
;(0なら지정しない) TARGET변경용（변경したい상대가 入ってる）
105,비디오카메라
;(0=固定カメラ 1=MASTER촬영 2=助手촬영)
106,MASTER의Ｐ삽입중
107,껴안기모드
108,껴안기해방포인트
109,쓰러뜨러짐당함개시시간
110,MASTER의친밀감

117,망상중
120,키스마크
121,콘돔안
122,붕대
123,귀보정

124,펄기한
125,펄삽입갯수
126,펄넣은사람
127,펄배출체크
128,복수
131,차


140,밭일성공도
141,사용악기
142,GipsLV

150,전회의ASSIPLAY의이력
151,전회의특수COM
152,전회의더블○○계커맨드에있어서TARGET이외의참가자（LOCAL）
153,전회의커맨드결과

160,사이즈표시
161,복장표시
162,능력표시
163,경험표시
164,성기술표시
165,소질표시
166,각인표시
167,도구표시
168,바람이력표시
169,개인정보표시
170,PALAM비표시
171,Status비표시
;172,표시아이템종류
173,USERCOM비표시
174,LOOK비표시

192,구상에의한COM성패판정
;(ー2=コマンド終了、ー1＝強制失敗、0=COM依存、1=強制成功0R強制大成功
193,SELECTCOM분기
194,SOURCE등에영향받지않는SELECTCOM의분기
195,원거리이동
196,청소량
197,물긷기
198,낮잠
199,하루한번
;(bit 1=弁当2=買い出し3=診察 4=特別商品 5=お宅訪問による翌日来訪 6=天候操作 7=탄막勝負 8=사정판정 9=스쳐지나감引っ掛けた 10=土産屋 11=お出かけ이벤트 12=告白)
200,아르바이트로번금액
201,멀미약
202,직원식
203,행운보정
204,캐릭터리스트
205,운반
206,원거리이동그２
207,노동량
;208,우산내구도
209,대중목욕탕플래그
210,대중목욕탕시한입장횟수
211,구지옥온천플래그
212,구지옥온천시한입장횟수
213,팬티수탈
214,출장청소
215,데이트전호감도
216,あなた기상
;TIME:3+DAY * 1440
217,칠석
218,무거움
219,이동불능메시지
220,카지노입장시카리스마
221,OPPAI
222,연회장
223,선향옥토
224,GG설치위치
225,포이즌바디
226,묘사중인아이
;육아중の子供は親の888캐릭터番号が入る,自立後は子供番号×1000+캐릭터番号
227,거품목욕
228,매트빌리기
229,데이트도중
230,치마너무넘김
231,무릎베개했다
232,맵변경
233,직전모브아이맵
234,탄막보정１
235,탄막보정２

240,탐색시행횟수
241,대화횟수

250,반지를건네준다용

300,시간경과
301,

;500~603は引き継用に使用
;500~603は引き継用に使用
;캐릭터数が増えた관계で500～630までは사용중（ver4.600proto現在）
;今後も実装캐릭터数の増加に伴って使用領域が広がるはず
;ここは広域変数である必要性は薄いので@強くてニューゲーム内でDIMる仕様변경も可能
